cell_id,cell_label,10X_cell_type,tsne_x,tsne_y
aahibhib-1,821,Tumor Cells,125.096985,-105.52389
aahjhlba-1,828,Proliferative Tumor Cells,6.7663903,-157.50261
aahjmjci-1,829,Proliferative Tumor Cells,140.30347,-125.86574
aahkmfde-1,835,Tumor Cells,140.84148,-130.11128
aaicagco-1,881,Tumor Cells,-23.202309,-157.22063
aaicgecl-1,887,Proliferative Tumor Cells,-80.64236,-219.10551
aaiehfij-1,907,Proliferative Tumor Cells,161.98055,-100.14492
aaijaokn-1,943,Tumor Cells,-19.081583,-151.77354
aajgchah-1,1025,Proliferative Tumor Cells,-31.092316,-146.53242
aajnjoed-1,1074,Tumor Cells,171.84058,-85.09332
aakbamkh-1,1096,Proliferative Tumor Cells,97.33978,-78.16872
aakeopkk-1,1133,VEGFA+ Tumor Cells,103.51501,-70.21703
aakhdhen-1,1145,Tumor Cells,118.30862,-60.514305
aakjlnmm-1,1154,Ciliated Epithelial Cells,64.743996,-102.89902
aakniopa-1,1174,Tumor Cells,109.005356,-59.45825
aalokjnl-1,1297,Tumor Cells,121.909546,-66.93097
aamamacj-1,1314,Proliferative Tumor Cells,55.090317,-100.37266
aamjolhe-1,1362,Ciliated Epithelial Cells,-0.40768337,-143.07204
aamkafha-1,1364,Tumor Cells,3.6088538,-144.61642
aancilnd-1,1418,Tumor Cells,91.80804,-79.36956
aancmldh-1,1420,Tumor Cells,100.77768,-62.712994
aanhngli-1,1453,Tumor Cells,98.5075,-69.49075
aanpmgib-1,1504,Proliferative Tumor Cells,-66.70674,-183.14647
aaociefh-1,1520,Tumor Cells,137.2557,-92.615524
aaoohnda-1,1598,Tumor Cells,6.0094953,-142.8194
aapcjjck-1,1630,T and NK Cells,22.330181,-4.018342
aapclmhg-1,1635,T and NK Cells,22.586733,-2.0245128
aapefonf-1,1646,Proliferative Tumor Cells,60.524868,-88.9279
aapfonol-1,1658,Tumor Cells,138.7902,-63.961437
aaplkdke-1,1694,Tumor Cells,59.536552,-91.04121
aapnjhib-1,1708,Tumor Cells,113.78681,-69.250435
aappaakj-1,1719,Ciliated Epithelial Cells,116.44147,-120.26986
abafipai-1,1752,Tumor Cells,34.557137,-104.533485
abahokhe-1,1767,Tumor Cells,-53.520607,-186.92775
abaomlmi-1,1811,Macrophages,-97.03959,15.753969
abbcggah-1,1839,Tumor Cells,138.81438,-110.60248
abbgmpep-1,1870,Tumor Cells,113.45187,-110.61396
abbhncon-1,1876,Tumor Cells,115.000404,-87.742004
abbkncfd-1,1905,Macrophages,42.696133,-19.560139
abcaagcn-1,1945,Proliferative Tumor Cells,126.54428,-103.551094
abccbjpc-1,1956,Proliferative Tumor Cells,122.3909,-124.30865
abccnabk-1,1959,Tumor Cells,145.10414,-96.98021
abcmfahp-1,2018,Tumor Cells,77.179436,-61.185905
abeaaclh-1,2172,Proliferative Tumor Cells,0.97189504,-155.20648
abeaoecd-1,2180,Unassigned,79.24413,-118.72544
abeapodj-1,2181,Tumor Cells,-65.80619,-178.54517
abedhedp-1,2197,Tumor Cells,-11.605866,-151.20319
abefjmnk-1,2209,Proliferative Tumor Cells,110.559975,-92.732475
abempoaa-1,2261,Tumor Cells,-1.6039444,-148.06264
abeoiddp-1,2269,Macrophages,-111.07202,6.8682656
abfaehjc-1,2287,Tumor Cells,149.52635,-104.931694
abfamcmd-1,2292,Tumor Cells,126.12355,-97.38998
abflajnp-1,2351,Tumor Cells,147.44832,-75.48751
abgfknha-1,2414,Tumor Cells,89.004616,-78.697075
abgjjhda-1,2454,Tumor Cells,71.03054,-122.80702
abgjndjl-1,2456,Tumor Cells,154.3485,-96.48756
abgkmhjh-1,2461,Tumor Cells,103.33571,-119.0665
abglkbfm-1,2464,Tumor Cells,121.35157,-60.7109
abglmdpn-1,2465,Tumor Cells,78.29954,-101.51583
abgppdai-1,2489,Ciliated Epithelial Cells,-67.177444,-173.25082
abhbfmin-1,2502,T and NK Cells,23.72966,-2.1943355
abhilomk-1,2551,Tumor Cells,121.259125,-104.67316
abiancdk-1,2608,Proliferative Tumor Cells,-36.060875,-156.37715
abibiahm-1,2610,Proliferative Tumor Cells,-37.667786,-149.26227
abihokcf-1,2647,T and NK Cells,21.371986,-2.6761541
abijlfbb-1,2655,T and NK Cells,21.19689,-0.8091088
abilcglf-1,2666,Tumor Cells,-18.349995,-143.17256
abimkpio-1,2680,Tumor Cells,-67.03282,-250.80516
abinkalc-1,2686,Tumor Cells,34.430546,-49.62798
abjckdog-1,2720,Tumor Cells,-6.109724,-153.18788
abjcnlkg-1,2722,Proliferative Tumor Cells,-28.872831,-175.61885
abjedahb-1,2734,Proliferative Tumor Cells,-80.134056,-225.43152
abjfedap-1,2741,Proliferative Tumor Cells,3.7967544,-158.51889
abjgildg-1,2751,Tumor Cells,127.22729,-118.31601
abjijkch-1,2763,Proliferative Tumor Cells,-78.35539,-223.74571
abjkbpnl-1,2771,Proliferative Tumor Cells,-16.986319,-164.58675
abjnlglo-1,2791,Proliferative Tumor Cells,-77.288574,-236.07704
abkaffla-1,2809,Tumor Cells,96.115456,-70.38185
abkcbiba-1,2828,Proliferative Tumor Cells,-26.206821,-164.07143
abklbbkg-1,2885,Proliferative Tumor Cells,-26.190372,-153.7528
ablaodef-1,2925,Tumor Cells,159.26271,-71.78348
ablcnokd-1,2939,Proliferative Tumor Cells,-33.330406,-139.72478
ablenchk-1,2955,Tumor Cells,144.64069,-177.48471
ablfjddl-1,2961,Tumor Cells,100.6433,-160.91653
ablippen-1,2977,Tumor Cells,-29.257841,-135.97456
ablkdhoe-1,2992,Proliferative Tumor Cells,59.97154,-182.39131
ablopjfm-1,3032,Tumor Cells,159.77628,-94.15564
abmeepck-1,3061,Tumor Cells,138.27948,-154.2128
abmehgno-1,3064,Tumor Cells,123.9093,-113.7649
abmhfhdb-1,3083,Proliferative Tumor Cells,112.78212,-220.78146
abmkhamh-1,3106,Proliferative Tumor Cells,13.121869,-200.19778
abmkmmch-1,3109,Proliferative Tumor Cells,19.993332,-233.2139
abmlaign-1,3110,Proliferative Tumor Cells,20.678617,-230.5372
abmlkbeb-1,3112,Proliferative Tumor Cells,22.205107,-233.72339
abmohgdm-1,3139,Proliferative Tumor Cells,108.460945,-206.10625
abneeocl-1,3186,Tumor Cells,6.0579004,-236.99294
abnkjlla-1,3219,Proliferative Tumor Cells,149.88484,-149.28078
abnlpejf-1,3232,Tumor Cells,65.82455,-105.57586
abomgnfh-1,3347,Proliferative Tumor Cells,6.5028667,-227.19394
abompgfj-1,3349,Proliferative Tumor Cells,96.13731,-220.34329
aboodnai-1,3361,Proliferative Tumor Cells,34.285942,-208.31229
aboogeog-1,3364,Proliferative Tumor Cells,106.83494,-180.60486
abpbfkng-1,3384,Tumor Cells,99.34483,-149.23067
abpdkbga-1,3400,Proliferative Tumor Cells,90.11525,-200.68678
abpgeama-1,3425,Tumor Cells,85.55277,-203.18639
abphbphf-1,3434,Proliferative Tumor Cells,-56.3741,-226.71391
abpkhige-1,3461,Tumor Cells,142.98557,-112.6251
abpklgpj-1,3464,Tumor Cells,155.06598,-93.19353
abpljdhg-1,3471,Tumor Cells,-18.867395,-159.47583
abpmffcm-1,3477,Proliferative Tumor Cells,88.807396,-203.84138
abpmooli-1,3484,Tumor Cells,123.855995,-209.53345
abpnmcjm-1,3488,Proliferative Tumor Cells,115.39315,-218.8458
abpobpec-1,3490,Tumor Cells,82.56282,-202.95486
acabnipl-1,3512,Proliferative Tumor Cells,-51.540703,-193.35129
acafojea-1,3544,Proliferative Tumor Cells,-72.6259,-228.88728
acainbkd-1,3566,Tumor Cells,64.0842,-185.19606
acajfbhn-1,3570,Proliferative Tumor Cells,-18.93163,-181.28392
acamplff-1,3598,Proliferative Tumor Cells,16.49198,-176.58934
acbapdgm-1,3626,Tumor Cells,80.32905,-181.88885
acbchooi-1,3641,Proliferative Tumor Cells,153.11769,-105.55381
acbgmiho-1,3665,Proliferative Tumor Cells,-44.152004,-209.26738
accchgld-1,3747,Tumor Cells,171.39601,-82.135475
accdllfa-1,3759,Proliferative Tumor Cells,149.31058,-117.96079
acchdhij-1,3788,VEGFA+ Tumor Cells,112.820076,-178.19194
acchdpbc-1,3789,Tumor Cells,77.650925,-248.87798
accjgcjf-1,3802,Proliferative Tumor Cells,9.708214,-170.45367
accjhbjp-1,3805,Proliferative Tumor Cells,134.18205,-197.63675
accjifhf-1,3806,Tumor Cells,162.0166,-89.2453
acclknpk-1,3822,Tumor Cells,129.09398,-184.21417
accmeldb-1,3825,Proliferative Tumor Cells,65.81037,-215.94215
accpabfi-1,3840,Tumor Cells,-20.478897,-211.42427
acdbfefo-1,3861,Proliferative Tumor Cells,-29.989563,-226.82277
acdcbopo-1,3870,Tumor Cells,16.051146,-168.60109
acdheege-1,3913,Stromal Associated Endothelial Cells,48.31916,28.222147
acdibmdf-1,3920,T and NK Cells,48.06688,-5.668585
aceenocd-1,4005,Macrophages,60.286068,23.246227
acelhmlk-1,4048,Proliferative Tumor Cells,-21.037388,-174.97313
acenopec-1,4070,Macrophages,54.87953,5.6566544
acfacbjd-1,4098,Tumor Cells,32.70652,-56.14436
acfckekm-1,4119,Proliferative Tumor Cells,93.58321,-128.08162
acfgdegi-1,4142,Proliferative Tumor Cells,-11.104621,-176.94131
acfhbkcf-1,4146,Proliferative Tumor Cells,15.281951,-178.69191
acfiejfg-1,4158,Proliferative Tumor Cells,-68.20289,-232.85466
acfimfbd-1,4161,Proliferative Tumor Cells,-11.474298,-174.00742
acflmbnp-1,4182,Tumor Cells,149.20114,-108.737564
acfnddeg-1,4196,Tumor Cells,-11.243838,-178.74767
acgbahkm-1,4227,Tumor Cells,149.56523,-60.48526
acgdhdel-1,4245,Tumor Cells,112.38492,-61.39456
acgfddbc-1,4255,Tumor Cells,-17.135475,-176.82634
acggdill-1,4263,Tumor Cells,125.275345,-129.58818
acghnjin-1,4274,Tumor Cells,32.959023,-60.598694
acgmaefc-1,4305,Proliferative Tumor Cells,-21.355522,-154.65497
acgnlibo-1,4319,Tumor Cells,158.33797,-67.87366
acheopgn-1,4378,Tumor Cells,110.96183,-173.84447
achfkdde-1,4387,Tumor Cells,99.28976,-184.37834
achlgpmf-1,4431,Tumor Cells,145.05731,-135.1019
achmefic-1,4438,Proliferative Tumor Cells,31.78121,-172.7773
achohigd-1,4455,Tumor Cells,26.68374,-213.71611
achpeoeg-1,4461,Proliferative Tumor Cells,37.65144,-219.09299
achpjjlj-1,4463,Proliferative Tumor Cells,127.03861,-201.10403
acifchkh-1,4492,Macrophages,96.37483,-154.42262
acifhcjl-1,4494,Tumor Cells,62.227905,-157.60704
acipkfne-1,4562,Proliferative Tumor Cells,129.91876,-174.67712
acjjdpjd-1,4633,Tumor Cells,120.843765,-127.86018
acjnbppb-1,4663,Tumor Cells,-16.80386,-230.26118
acjndbee-1,4665,VEGFA+ Tumor Cells,114.3804,-196.99493
acjnjchc-1,4668,VEGFA+ Tumor Cells,142.48286,-127.29741
ackaciml-1,4683,VEGFA+ Tumor Cells,151.7233,-150.92595
ackcdhjg-1,4699,VEGFA+ Tumor Cells,116.296165,-193.67879
aclalocl-1,4799,Proliferative Tumor Cells,-51.438446,-236.88438
aclccjjj-1,4806,VEGFA+ Tumor Cells,71.41934,-220.2145
aclddpih-1,4810,VEGFA+ Tumor Cells,15.437929,-230.91249
aclhpbjp-1,4835,Proliferative Tumor Cells,171.68054,-95.14958
aclmohan-1,4872,Tumor Cells,8.359137,-209.0795
aclnmkhg-1,4876,Tumor Cells,-2.6970341,-244.11638
aclojhlg-1,4880,Tumor Cells,116.97497,-166.57896
acmaiadn-1,4887,VEGFA+ Tumor Cells,113.29467,-202.57921
acmbmgnc-1,4896,Tumor Cells,-29.291578,-245.71182
acmchlnd-1,4901,Tumor Cells,34.52556,-234.04405
acmgdjei-1,4927,Tumor Cells,124.67952,-192.29454
acmippcp-1,4944,Tumor Cells,56.305565,-209.05814
acmoeaec-1,4972,Tumor Cells,139.83812,-123.10727
acndlonb-1,4997,Proliferative Tumor Cells,105.26483,-198.32146
acnejeek-1,5002,Proliferative Tumor Cells,174.04062,-83.848656
acnjmboe-1,5039,Proliferative Tumor Cells,-31.738695,-234.4262
acnjofmm-1,5042,Tumor Cells,104.5208,-194.87901
acnlbnfj-1,5048,Tumor Cells,86.71029,-181.0145
acnllcpj-1,5052,Tumor Cells,28.194756,-216.64662
acnoleac-1,5068,Tumor Cells,132.98502,-211.0077
acocjoeb-1,5087,Proliferative Tumor Cells,148.04051,-90.93077
acockmfn-1,5089,Tumor Cells,-5.3337235,-219.4794
acocodjg-1,5093,Proliferative Tumor Cells,2.304987,-225.3361
acofocaa-1,5115,Ciliated Epithelial Cells,91.796616,-116.492546
acohglbe-1,5121,Tumor Cells,168.22081,-128.217
acohokec-1,5125,Tumor Cells,165.26663,-87.13284
acoocecm-1,5167,Tumor Cells,5.3139806,-160.79237
acpaokjo-1,5189,SOX2-OT+ Tumor Cells,68.26566,11.059074
acpcgaob-1,5204,Tumor Cells,-17.652023,-184.31544
acpfmhdj-1,5224,Tumor Cells,81.00771,-116.57596
acphafmf-1,5233,Tumor Cells,-31.452663,-143.7012
acpnkebn-1,5286,Tumor Cells,6.5217676,-148.92282
adadihja-1,5334,Tumor Cells,9.854189,-141.22517
adaebpeh-1,5340,Proliferative Tumor Cells,-39.619728,-177.14113
adaklcbn-1,5380,Proliferative Tumor Cells,-43.830227,-246.17307
adapcdoi-1,5403,Proliferative Tumor Cells,94.15914,-179.96518
adbcmhpp-1,5428,Proliferative Tumor Cells,-6.1251774,-181.85344
adbidgkh-1,5468,Tumor Cells,173.30925,-86.33656
adbijcca-1,5474,Tumor Cells,-30.689983,-141.12741
adbkblgi-1,5486,Proliferative Tumor Cells,8.16244,-172.06049
adbklkaf-1,5490,Tumor Cells,-22.133003,-151.85152
adccobph-1,5548,Proliferative Tumor Cells,-2.6647573,-136.75053
adcdbmmd-1,5552,Unassigned,0.43389398,-134.20776
adcenbmn-1,5563,Proliferative Tumor Cells,-8.505953,-180.19475
adcgckgk-1,5571,Tumor Cells,102.998436,-93.78341
adchhjii-1,5578,Tumor Cells,111.441284,-213.24152
adcnnjld-1,5613,Tumor Cells,136.1041,-123.27288
adcodjgd-1,5616,Tumor Cells,1.4177536,-165.41428
adcpddai-1,5625,Tumor Cells,160.98474,-164.48936
addabnpg-1,5633,Tumor Cells,-51.006107,-232.02591
adddfdjp-1,5647,Tumor Cells,29.64048,-240.16971
addfejfh-1,5664,T and NK Cells,47.189365,-9.929239
addgbeal-1,5671,Proliferative Tumor Cells,-1.6606429,-176.10582
addmcdnd-1,5715,Tumor Cells,70.057304,-177.52864
addokjbf-1,5733,Proliferative Tumor Cells,-79.44354,-231.9262
adeeepjj-1,5773,Proliferative Tumor Cells,41.362793,-216.02583
adegnofd-1,5795,Proliferative Tumor Cells,36.7746,-209.54742
adejaedj-1,5809,Proliferative Tumor Cells,22.134508,-150.8711
adfbbegh-1,5863,Tumor Cells,49.735386,-218.80595
adfhloci-1,5895,Proliferative Tumor Cells,149.4727,-191.20717
adfoigod-1,5941,Tumor Cells,32.435146,-50.458885
adgcllim-1,5968,Tumor Cells,3.5907872,-169.81369
adggcpci-1,5992,Tumor Cells,51.69794,-219.49971
adgiohbk-1,6012,Proliferative Tumor Cells,96.496025,-148.16393
adgjccag-1,6013,Tumor Cells,96.997215,-185.71101
adglngkf-1,6037,Proliferative Tumor Cells,-40.224438,-255.64774
adhbpkbf-1,6067,Tumor Cells,161.771,-97.200035
adhfgfee-1,6093,Tumor Cells,-40.598705,-155.1934
adhgpdad-1,6101,Tumor Cells,-43.043133,-152.21434
adhkjkdb-1,6123,Proliferative Tumor Cells,-41.627346,-164.88087
adhppeno-1,6158,Proliferative Tumor Cells,-24.55949,-151.73746
adifimdb-1,6198,Tumor Cells,-14.814314,-154.01218
adiifeoa-1,6215,Tumor Cells,-3.3849032,-153.45892
adikfgbf-1,6231,Proliferative Tumor Cells,-3.8786552,-172.95845
adilbkmd-1,6237,Tumor Cells,-33.16217,-143.49152
adinojbl-1,6252,Tumor Cells,-44.41831,-136.58545
adjckhbb-1,6286,Tumor Cells,24.083317,-213.40695
adjcmpkk-1,6289,Proliferative Tumor Cells,25.468987,-208.29819
adjdoafl-1,6299,Proliferative Tumor Cells,68.78253,-212.1106
adjlcgej-1,6344,Proliferative Tumor Cells,131.67365,-187.92404
adkfkehl-1,6409,Tumor Cells,49.948017,-207.66983
adkgdeko-1,6414,Proliferative Tumor Cells,84.07005,-209.2987
adkggokd-1,6418,Proliferative Tumor Cells,169.22417,-86.53976
adkiakeg-1,6427,Tumor Cells,145.36942,-193.5354
adkliikg-1,6448,Proliferative Tumor Cells,-57.28637,-228.98735
adkndamo-1,6460,Proliferative Tumor Cells,-63.6166,-231.4955
adlanalg-1,6486,Proliferative Tumor Cells,0.060163017,-245.89882
adlaofaj-1,6487,Proliferative Tumor Cells,87.75098,-209.4905
adlapbbc-1,6488,Tumor Cells,13.487123,-240.45128
adlbpcmc-1,6498,Proliferative Tumor Cells,81.33203,-207.672
adlckecb-1,6500,Proliferative Tumor Cells,-1.7843878,-210.33794
adlgckpb-1,6528,Proliferative Tumor Cells,4.5639687,-238.8399
adlghkbh-1,6531,Proliferative Tumor Cells,16.126455,-207.69266
adlkiloi-1,6559,Proliferative Tumor Cells,-62.36578,-221.57344
admbbbgo-1,6606,Tumor Cells,149.65948,-176.00977
admcjaid-1,6612,Tumor Cells,141.41203,-159.3684
admekcja-1,6632,Proliferative Tumor Cells,135.80855,-167.09412
admhhoed-1,6651,Tumor Cells,9.675689,-187.46042
admimbhg-1,6658,Tumor Cells,8.067095,-192.34616
admogkia-1,6694,Tumor Cells,85.831024,-197.36612
admpdjla-1,6702,Tumor Cells,125.71431,-205.40186
adnamdmf-1,6713,Proliferative Tumor Cells,116.53152,-130.5214
adnboidp-1,6721,Tumor Cells,4.449198,-233.86237
adnfjioc-1,6746,Proliferative Tumor Cells,7.770689,-220.80215
adnkjhid-1,6780,Proliferative Tumor Cells,-48.411728,-157.69191
adnmnoge-1,6795,Proliferative Tumor Cells,-46.718086,-164.47552
adoabhgn-1,6815,Proliferative Tumor Cells,120.72918,-108.82166
adobocam-1,6830,Tumor Cells,-10.368812,-142.12819
adoilnjg-1,6878,Tumor Cells,145.05849,-88.88331
adolnjmh-1,6900,Proliferative Tumor Cells,-31.129316,-166.0472
adpblpgh-1,6943,Proliferative Tumor Cells,-48.61542,-164.85072
adphdkmk-1,6986,Proliferative Tumor Cells,127.90876,-115.66376
adphogje-1,6993,Proliferative Tumor Cells,-27.291103,-145.2345
aeagopnc-1,7094,Proliferative Tumor Cells,-45.38562,-157.2223
aeakflmp-1,7123,Tumor Cells,-39.28768,-150.21405
aealanok-1,7127,Proliferative Tumor Cells,-43.87084,-156.78786
aeapdnpm-1,7161,Proliferative Tumor Cells,-50.12799,-154.90988
aebahmpe-1,7169,Proliferative Tumor Cells,-21.934563,-149.56696
aebbipco-1,7173,Proliferative Tumor Cells,122.69521,-116.816025
aebcdbpk-1,7180,Tumor Cells,119.644775,-130.75429
aebcnndc-1,7187,Tumor Cells,117.86128,-118.347824
aebhikib-1,7218,Tumor Cells,166.7156,-77.74325
aebncfcb-1,7249,Tumor Cells,143.99426,-162.34982
aecdmckk-1,7292,Proliferative Tumor Cells,12.002315,-146.00468
aecelfkp-1,7305,Proliferative Tumor Cells,-16.542677,-138.77522
aecffgog-1,7315,Tumor Cells,124.11956,-118.4603
aecimone-1,7349,Tumor Cells,143.88112,-142.22678
aedbefkj-1,7398,Tumor Cells,136.06744,-174.68784
aedbnhpj-1,7402,Tumor Cells,17.439377,-196.00652
aedfgaad-1,7418,Tumor Cells,-1.601607,-223.00967
aedgcool-1,7425,Tumor Cells,137.29929,-137.64499
aedhfbei-1,7435,Proliferative Tumor Cells,53.338627,-215.09341
aedkflig-1,7447,Proliferative Tumor Cells,40.159515,-224.7588
aedlllff-1,7455,Proliferative Tumor Cells,-26.46175,-223.56589
aedmoihp-1,7464,Proliferative Tumor Cells,-14.399342,-175.24007
aednkjic-1,7468,Proliferative Tumor Cells,133.25223,-167.70602
aedpejem-1,7479,Tumor Cells,122.61111,-218.82309
aeefjmbi-1,7526,Proliferative Tumor Cells,149.80467,-181.83244
aeeilflm-1,7549,Tumor Cells,136.22932,-143.9544
aeeipmgj-1,7552,Tumor Cells,90.23049,-148.89192
aefcikie-1,7622,Tumor Cells,-11.372642,-138.88947
aefgfpmj-1,7651,Proliferative Tumor Cells,-24.300463,-169.314
aegfpako-1,7738,Macrophages,41.354637,-3.8942182
aeggimjl-1,7746,Macrophages,-94.89474,33.942135
aeghledf-1,7755,SOX2-OT+ Tumor Cells,43.626682,-3.6838117
aegpgfgd-1,7809,Macrophages,-98.57593,28.55446
aehcgkim-1,7829,T and NK Cells,60.68928,7.773152
aeheobdi-1,7850,T and NK Cells,25.967005,-2.9813166
aehfalkn-1,7851,T and NK Cells,-93.82682,36.475033
aehiiina-1,7879,Tumor Cells,114.02204,-90.60195
aehjnobk-1,7889,Tumor Cells,108.42993,-65.19015
aehnadnm-1,7917,Tumor Cells,90.27762,-113.861725
aeiilccg-1,7978,Tumor Cells,0.6079689,-145.85187
aeinkdom-1,8016,VEGFA+ Tumor Cells,108.60076,-62.923428
aejecjff-1,8057,Tumor Cells,-1.9472233,-150.40334
aejemhbg-1,8064,Tumor Cells,-5.824257,-135.78549
aejgpapb-1,8074,Tumor Cells,-8.069043,-156.9293
aekbcdbm-1,8150,Proliferative Tumor Cells,-54.49473,-211.16028
aekdeiha-1,8160,VEGFA+ Tumor Cells,9.806272,-159.95844
aekhdpnj-1,8192,Tumor Cells,-21.798452,-179.14256
aekheecc-1,8193,Tumor Cells,-57.211876,-180.8126
aekjphfa-1,8212,Tumor Cells,150.67995,-113.029335
aekkiehf-1,8217,Proliferative Tumor Cells,-24.204355,-172.13992
aeklckoa-1,8220,Tumor Cells,118.68987,-113.398186
aeklkgii-1,8227,Proliferative Tumor Cells,-74.92733,-221.97678
aelafbbp-1,8253,Tumor Cells,-0.91266197,-165.63098
aelbnnij-1,8265,Tumor Cells,150.0843,-134.9041
aelglhmj-1,8291,Proliferative Tumor Cells,2.0162714,-179.30554
aellkhbk-1,8327,Tumor Cells,11.869325,-158.94247
aelnmmfh-1,8340,Tumor Cells,145.03943,-138.51263
aelolkbj-1,8346,Tumor Cells,161.6503,-91.96992
aemdcapb-1,8368,Proliferative Tumor Cells,5.8860717,-175.47993
aemdcjna-1,8369,Tumor Cells,127.38674,-125.78129
aemejhnh-1,8383,Proliferative Tumor Cells,-2.5880144,-174.48016
aemlbdbj-1,8426,Tumor Cells,150.26375,-67.355705
aenbjjel-1,8468,Proliferative Tumor Cells,6.0434904,-178.53136
aeneogma-1,8482,Tumor Cells,11.128155,-185.12422
aenjmhep-1,8506,Proliferative Tumor Cells,-43.579453,-231.53584
aenkllfj-1,8512,Proliferative Tumor Cells,-4.140496,-185.56784
aenmjckk-1,8521,Tumor Cells,126.90752,-203.90828
aenojdng-1,8533,Tumor Cells,12.466354,-197.0357
aeoabjgc-1,8547,Proliferative Tumor Cells,78.88542,-136.91376
aeoanjdg-1,8549,Proliferative Tumor Cells,-2.6610782,-163.50572
aeobiddi-1,8554,Proliferative Tumor Cells,129.19011,-127.12021
aeodeofb-1,8565,Tumor Cells,-35.149136,-150.12996
aeompgal-1,8625,Proliferative Tumor Cells,-69.163666,-221.98114
aeooccdj-1,8630,Tumor Cells,148.84743,-115.335075
aeopbpni-1,8634,Proliferative Tumor Cells,-27.9345,-150.36765
aepimbmb-1,8701,Tumor Cells,19.21696,-227.63535
aepkiije-1,8714,Tumor Cells,126.27365,-207.90242
aepociic-1,8737,Tumor Cells,160.17267,-105.330536
aepogkbd-1,8740,Tumor Cells,157.13414,-91.88849
afabdpdh-1,8760,Tumor Cells,146.68707,-162.76505
afacfjml-1,8768,Proliferative Tumor Cells,100.984314,-212.23853
afaecihh-1,8783,Tumor Cells,125.82645,-114.724106
afaehhkn-1,8787,Tumor Cells,151.79106,-95.38103
afbabpbe-1,8873,Tumor Cells,-78.74637,-212.07497
afcbbibo-1,9005,Tumor Cells,139.6678,-136.79504
afcbkgce-1,9011,Proliferative Tumor Cells,152.67314,-170.1394
afcgbdok-1,9042,Proliferative Tumor Cells,18.006987,-178.9541
afcibohh-1,9058,Proliferative Tumor Cells,-24.633917,-222.9885
afcjnlea-1,9070,Tumor Cells,17.243341,-188.73097
afdaokbp-1,9129,VEGFA+ Tumor Cells,54.206947,-218.1528
afdbkhkh-1,9135,Proliferative Tumor Cells,87.963135,-212.31526
afdhdhdp-1,9173,Tumor Cells,115.43678,-201.06691
afdlaohp-1,9202,VEGFA+ Tumor Cells,117.2877,-200.97836
afdncnkm-1,9216,Proliferative Tumor Cells,56.011288,-203.09984
afeeedgk-1,9271,Tumor Cells,128.58894,-204.16847
afefbiej-1,9277,Tumor Cells,-66.7745,-218.81439
afegdcpb-1,9282,Tumor Cells,-34.213047,-134.3209
afenpdmk-1,9334,Tumor Cells,152.78006,-111.93163
affcjafl-1,9369,Proliferative Tumor Cells,-36.368767,-164.90463
affjaepf-1,9410,Proliferative Tumor Cells,-40.635647,-221.41055
affjddib-1,9411,Tumor Cells,-6.8504667,-142.07137
afgboppe-1,9489,Tumor Cells,-33.372807,-137.0467
afgcchlo-1,9493,Tumor Cells,13.051319,-184.20865
afgdflam-1,9504,Proliferative Tumor Cells,-7.6631975,-177.23232
afgghomo-1,9523,Proliferative Tumor Cells,-74.32193,-224.40593
afgphkjj-1,9576,Tumor Cells,15.286937,-182.30154
afhimnng-1,9650,Tumor Cells,-58.59047,-146.56355
